"","tract","rev","human_services","education","public","religion","arts","health","total","oth","perc_poverty","perc_male_occ","female_headed","crowded_housing","public_assistance","under_30k","less_hs","unemployment","ndi"
"226","141602",436531,2,1,0,1,2,0,6,0,0.1,0,0.1,0,0.1,0.2,0.1,0.1,-0.0031
"227","141700",1442,0,1,1,0,2,0,4,1,0.1,0.2,0,0,0,0.2,0,0,-0.0484
"228","150100",0,1,0,1,0,0,0,2,1,0.4,0,0.2,0,0.4,0.6,0.2,0.3,0.0648
"229","150300",0,0,0,0,0,0,0,0,0,0.4,0,0.2,0,0.4,0.6,0.2,0.3,0.0673
"230","150400",250,1,1,0,0,0,0,2,0,0.5,0,0.3,0,0.6,0.8,0.3,0.3,0.1119
"231","151100",0,1,0,0,0,0,0,1,0,0.4,0,0.1,0,0.4,0.7,0.3,0.3,0.0869
"232","151200",0,0,0,0,0,0,0,0,0,0.5,0,0.1,0,0.4,0.7,0.1,0.2,0.0623
"233","151300",1892559,4,0,1,0,0,0,5,1,0.5,0,0,0,0.4,0.7,0.2,0.1,0.0477
"234","151400",44936,1,0,0,0,0,1,2,0,0.2,0.1,0.2,0,0.4,0.6,0.1,0.2,0.0463
"235","151500",0,0,0,0,2,0,0,2,0,0.5,0,0.1,0,0.4,0.6,0.2,0.3,0.0784
"236","151600",0,0,0,0,0,0,0,0,0,0.4,0,0.1,0,0.5,0.5,0.2,0.3,0.0644
"237","151700",94000,1,0,0,0,0,0,1,0,0.4,0,0.1,0,0.4,0.6,0.1,0.2,0.0545
"238","151800",0,0,1,0,0,0,0,1,0,0.5,0,0.1,0,0.5,0.7,0.2,0.3,0.0847
"239","152101",86575,4,1,0,0,1,0,7,1,0.1,0.1,0.1,0,0,0.1,0,0.1,-0.0355
"240","152102",249804,4,2,0,1,0,0,7,0,0.2,0.1,0.2,0,0.2,0.4,0.1,0.1,0.0134
"241","152201",78576,0,0,0,0,1,0,1,0,0.2,0.1,0.1,0,0.3,0.5,0.1,0.2,0.0179
"242","152202",3783830,4,1,2,0,1,0,8,2,0.2,0,0.1,0,0.3,0.4,0.1,0.1,0.0117
"243","152301",0,0,0,0,0,0,0,0,0,0.2,0,0.1,0,0.1,0.4,0.1,0.1,-0.0021
"244","152302",38576,1,0,0,0,0,0,4,3,0.2,0.1,0.1,0,0.2,0.3,0.1,0.1,-0.0048
"245","152303",479130,2,0,6,0,1,1,12,8,0.2,0,0.1,0,0.1,0.3,0.1,0.1,-4e-04
"246","152400",135153,1,0,2,0,1,1,7,4,0.1,0,0,0,0.2,0.3,0.1,0.2,-0.0013
"247","152501",26886,0,0,1,0,0,0,2,2,0.1,0,0.1,0,0.1,0.3,0.1,0,-0.0159
"248","152502",10873426,5,2,2,0,0,0,10,3,0.2,0,0.3,0,0.3,0.4,0.1,0.1,0.0391
"249","152603",50686,1,0,0,0,1,0,2,0,0.3,0.1,0.1,0,0.4,0.4,0.1,0,0.0129
"250","152604",8002,2,1,0,0,0,0,4,1,0.4,0,0.1,0,0.3,0.6,0.2,0.2,0.0372
"251","152701",0,0,1,0,0,0,0,1,0,0.4,0,0,0,0.5,0.8,0.3,0.1,0.0637
"252","152702",11620477,3,0,0,0,0,0,3,0,0.1,0,0.1,0,0.2,0.3,0,0.1,-0.004
